lookback,skip,vol_lookback,risk_lookback,rebalance_every,cagr,ann_vol,max_drawdown,sharpe,total_pnl,trade_count,turnover,hit_rate,payoff_ratio,wf_total_windows,wf_mean_oos_sharpe,wf_pct_profitable_windows,wf_oos_return_mean,wf_oos_return_std,classification
189.0,21.0,40.0,25.0,3.0,-0.007910234019756657,0.0163343431811066,0.06606983228776475,-0.478016768738679,-0.2413486484909285,2265,0.14290292964758422,0.34172185430463575,1.0562355798031595,5,-0.40793699428422114,20.0,-0.001585428091573826,0.012410525310186967,FRAGILE
189.0,21.0,40.0,25.0,5.0,-0.007910234019756657,0.0163343431811066,0.06606983228776475,-0.478016768738679,-0.14460544875049003,1360,0.14290292964758422,0.36911764705882355,1.0791842124590927,5,-0.40793699428422114,20.0,-0.001585428091573826,0.012410525310186967,FRAGILE
189.0,21.0,40.0,25.0,10.0,-0.007910234019756657,0.0163343431811066,0.06606983228776475,-0.478016768738679,-0.05261736699784899,657,0.14290292964758422,0.4033485540334855,1.1497822166041973,5,-0.40793699428422114,20.0,-0.001585428091573826,0.012410525310186967,FRAGILE
189.0,21.0,40.0,30.0,3.0,-0.007687041014160068,0.01729369017360145,0.07872666180042476,-0.437557449535147,-0.26185483815671073,2385,0.15334166054511017,0.3350104821802935,1.0545139245637638,5,-0.14759219568342488,20.0,0.0014200824062965633,0.018249749085348696,FRAGILE
189.0,21.0,40.0,30.0,5.0,-0.007687041014160068,0.01729369017360145,0.07872666180042476,-0.437557449535147,-0.16206973674901318,1443,0.15334166054511017,0.3596673596673597,1.0745594449387805,5,-0.14759219568342488,20.0,0.0014200824062965633,0.018249749085348696,FRAGILE
189.0,21.0,40.0,30.0,10.0,-0.007687041014160068,0.01729369017360145,0.07872666180042476,-0.437557449535147,-0.06934239330482325,713,0.15334166054511017,0.4067321178120617,1.0676451742767703,5,-0.14759219568342488,20.0,0.0014200824062965633,0.018249749085348696,FRAGILE
189.0,21.0,50.0,10.0,3.0,-0.01433015976393981,0.016216461501262488,0.12215665283204014,-0.8819379199988399,-0.24477081406214427,2307,0.15449375805781992,0.3376679670567837,1.0938156465650672,5,-1.1714331520376877,20.0,-0.01253107296606002,0.018299972175285208,FRAGILE
189.0,21.0,50.0,10.0,5.0,-0.01433015976393981,0.016216461501262488,0.12215665283204014,-0.8819379199988399,nan,1326,0.15449375805781992,0.3740573152337858,1.1881094517229647,5,-1.1714331520376877,20.0,-0.01253107296606002,0.018299972175285208,FRAGILE
189.0,21.0,50.0,10.0,10.0,-0.01433015976393981,0.016216461501262488,0.12215665283204014,-0.8819379199988399,-0.03708025752409506,647,0.15449375805781992,0.4327666151468315,1.100187619602448,5,-1.1714331520376877,20.0,-0.01253107296606002,0.018299972175285208,FRAGILE
189.0,21.0,50.0,15.0,3.0,-0.0069917287365748315,0.016095630694447045,0.08159784411977922,-0.4278581160769734,-0.19466124192241924,2241,0.147781015432976,0.34002677376171353,1.1975797178325849,5,-0.3638508744666412,20.0,-0.0014496083114859727,0.01760487677696265,FRAGILE
