time,gross_exposure,net_exposure,n_positions,ret_gross_weighted,ret_net_weighted,turnover_weight_units,regime_on
2021-05-26,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-27,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-28,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-29,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-30,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0,0.0,-0.0009763861594549988,0.9763861594549988,1.0
2021-06-02,0.9763861594549988,0.15726419158258173,27,0.0028664397307597506,0.0028449044835814536,0.02153524717829705,1.0
2021-06-03,0.9759522906537095,0.1549598998713405,27,0.0032268655356521257,0.003184258535834861,0.04260699981726488,1.0
2021-06-04,0.9895236760137944,0.14982447892643386,27,-0.004993948228627976,-0.00598347190464177,0.9895236760137944,0.0
2021-06-05,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-06-06,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-06-07,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-06-08,0.0,0.0,0,0.0,-0.0009529596441991998,0.9529596441991998,1.0
2021-06-09,0.9529596441991999,0.15473774966280485,27,0.011200015566087946,0.011176213536860847,0.02380202922709954,1.0
2021-06-10,0.9548339866014983,0.153997666500846,27,-0.0012162741658645671,-0.0012504352799158015,0.03416111405123439,1.0
2021-06-11,0.9539151072740127,0.15780245170631424,28,0.0003842202224457459,0.0003264966600391198,0.057723562406626155,1.0
2021-06-12,0.9557180416063987,0.14958966476409244,28,-0.004884437010160592,-0.004887737741136664,0.0033007309760716636,1.0
2021-06-13,0.9524256283332598,0.14943515090712922,28,0.010252024225905853,0.010226672843103527,0.02535138280232637,1.0
2021-06-14,0.9330587460214581,0.1480729308228734,27,0.0045214643564099035,0.004476705133339271,0.04475922307063283,1.0
2021-06-15,0.9294330743954577,0.15190566226598165,27,-0.002505275483005674,-0.002575176334568429,0.06990085156275527,1.0
2021-06-16,0.9139977860640269,0.16755104222801445,27,-0.006315877609949252,-0.006448438948380107,0.132561338430855,1.0
2021-06-17,0.9345654021002823,0.17270782459668751,27,-0.003381893553208026,-0.0034757221382843463,0.0938285850763207,1.0
2021-06-18,0.9579939170988329,0.17828570139796449,26,-0.012369278990139645,-0.012482735501740805,0.11345651160116031,1.0
2021-06-19,0.9748621897339588,0.1753503033222692,26,-0.000907191071060931,-0.0009181026192548981,0.01091154819396701,1.0
2021-06-20,0.9639509367865271,0.17437640459565582,26,0.0008160048501383491,0.000773752229238819,0.04225262089953019,1.0
2021-06-21,0.9497429752065774,0.1756777166424367,26,-0.006839115655548574,-0.007788858630755152,0.9497429752065774,0.0
