symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
EURUSD,SHORT,2021-08-03,2021-08-05,1.18689,1.18327,2,2,-0.02314,8,0.00305,0.00105,5e-05,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
CADCHF,LONG,2021-07-13,2021-08-09,0.733883,0.732318,27,23,0.02971,3,-0.002133,-0.004133,-0.005133,20.0,0.00879,-0.025138,2,6,-0.018108,rotated_out_top8,False,0,daily
GBPCHF,LONG,2021-08-05,2021-08-09,1.262622,1.275041,4,3,0.02703,7,0.009836,0.007836,0.006836,20.0,0.01022,-0.005706,2,1,0.0,rotated_out_top8,True,0,daily
NZDCHF,SHORT,2021-08-09,2021-08-10,0.643727,0.646483,1,1,-0.02533,8,-0.00428,-0.00628,-0.00728,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
AUDUSD,SHORT,2021-08-09,2021-08-10,0.73292,0.7343,1,1,-0.02686,7,-0.001883,-0.003883,-0.004883,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
EURUSD,SHORT,2021-08-10,2021-08-11,1.17192,1.17414,1,1,-0.0288,8,-0.001894,-0.003894,-0.004894,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
NZDUSD,SHORT,2021-08-03,2021-08-12,0.7044,0.70032,9,8,-0.03229,5,0.005792,0.003792,0.002792,20.0,0.004642,0.0,5,0,-0.00707,rotated_out_top8,True,0,daily
USDCAD,SHORT,2020-11-24,2021-08-13,1.29932,1.25144,262,223,-0.04344,5,0.03685,0.03485,0.03385,20.0,0.070652,0.0,153,0,-0.054582,rotated_out_top8,True,65,daily
NZDUSD,SHORT,2021-08-13,2021-08-15,0.7038,0.70377,2,1,-0.0274,8,4.3e-05,-0.001957,-0.002957,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
EURUSD,SHORT,2021-08-12,2021-08-16,1.17352,1.17774,4,3,-0.02897,8,-0.003596,-0.005596,-0.006596,20.0,0.0,-0.004738,0,3,-0.005096,rotated_out_top8,False,0,daily
CADCHF,LONG,2021-08-10,2021-08-19,0.737255,0.716179,9,8,0.03824,4,-0.028588,-0.030588,-0.031588,20.0,0.003738,-0.024191,2,7,-0.017249,rotated_out_top8,False,0,daily
USDCAD,SHORT,2021-08-15,2021-08-24,1.25178,1.25963,9,8,-0.02636,8,-0.006271,-0.008271,-0.009271,20.0,0.0,-0.023622,0,6,-0.024988,rotated_out_top8,False,0,daily
NZDUSD,SHORT,2021-08-16,2021-08-24,0.70267,0.69363,8,7,-0.02622,7,0.012865,0.010865,0.009865,20.0,0.027296,0.0,6,0,-0.010545,rotated_out_top8,True,0,daily
EURUSD,SHORT,2021-08-24,2021-08-26,1.17523,1.17531,2,2,-0.02789,7,-6.8e-05,-0.002068,-0.003068,20.0,0.0,0.0,0,0,-0.001625,rotated_out_top8,False,0,daily
USDCAD,SHORT,2021-08-26,2021-08-27,1.26847,1.26109,1,1,-0.02997,8,0.005818,0.003818,0.002818,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
NZDUSD,SHORT,2021-08-27,2021-08-29,0.70116,0.70105,2,1,-0.03521,6,0.000157,-0.001843,-0.002843,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
USDCAD,SHORT,2021-08-29,2021-09-06,1.26117,1.25335,8,7,-0.03006,8,0.006201,0.004201,0.003201,20.0,0.006431,0.0,7,0,-0.001015,rotated_out_top8,True,0,daily
EURUSD,SHORT,2021-09-06,2021-09-07,1.18729,1.18427,1,1,-0.02453,8,0.002544,0.000544,-0.000456,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
GBPCHF,LONG,2021-08-11,2021-09-08,1.27784,1.268973,28,24,0.03066,7,-0.006939,-0.008939,-0.009939,20.0,0.004376,-0.027784,1,11,-0.02255,rotated_out_top8,False,0,daily
EURGBP,SHORT,2021-04-16,2021-09-09,0.865705,0.854391,146,125,-0.02782,8,0.013069,0.011069,0.010069,20.0,0.019827,-0.006273,98,8,-0.015058,rotated_out_top8,True,25,daily
AUDCHF,SHORT,2021-09-08,2021-09-09,0.678498,0.675193,1,1,-0.02386,8,0.004872,0.002872,0.001872,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
